SS,FR,DD,D,AL,Predicted,Error,SiC,Predicted.1,Error.1,Neat ,Predicted.2,Error.2,Desirability index,Composite desirability,Rank
5500.0,0.01,8.0,Step,0.666,0.645457,3.084534534534548,0.712,0.6696689999999998,5.945365168539342,1.018,1.0305669999999998,-1.234479371316284,0.6903846153846153,0.5940305696279445,16
5500.0,0.01,8.0,Core,0.997,0.983257,1.378435305917748,1.005,0.9651689999999998,3.9632835820895584,1.205,1.2195669999999996,-1.2088796680497553,0.05384615384615369,0.020015644028184114,56
5500.0,0.02,6.0,Core,0.935,0.9387380000000001,-0.39978609625668654,0.941,0.9219059999999999,2.0291179596174342,1.176,1.194518,-1.574659863945581,0.17307692307692282,0.08412048784966811,46
1500.0,0.01,4.0,Twist,0.753,0.748537,0.5926958831341295,0.776,0.767817,1.054510309278357,1.069,1.065087,0.36604303086997714,0.523076923076923,0.4051161900635962,24
3500.0,0.02,6.0,Step,0.635,0.628058,1.0932283464566934,0.672,0.6539860000000001,2.680654761904758,0.993,0.992718,0.028398791540785947,0.75,0.692680452168075,8
1500.0,0.01,4.0,Core,0.915,0.921137,-0.6707103825136556,0.927,0.9256169999999998,0.1491909385113533,1.159,1.159387,-0.03339085418463462,0.21153846153846134,0.11365505384549686,44
3500.0,0.01,6.0,Step,0.622,0.622741,-0.11913183279742633,0.664,0.648453,2.3414156626506157,0.984,0.989841,-0.5935975609756083,0.775,0.7250231632352593,7
1500.0,0.01,4.0,Step,0.605,0.5925369999999999,2.0600000000000187,0.632,0.6281169999999998,0.6143987341772456,0.935,0.9423870000000001,-0.7900534759358323,0.8076923076923077,0.843909119544504,4
3500.0,0.02,6.0,Twist,0.786,0.782258,0.4760814249363897,0.792,0.7767860000000001,1.9209595959595895,1.089,1.0971179999999998,-0.7454545454545315,0.4596153846153845,0.3446145860244144,28
5500.0,0.02,6.0,Twist,0.775,0.756938,2.330580645161293,0.783,0.748106,4.456449553001274,1.078,1.094118,-1.495176252319096,0.4807692307692306,0.3724192483725963,26
5500.0,0.03,8.0,Twist,0.821,0.8125190000000001,1.033008526187558,0.826,0.791007,4.236440677966095,1.118,1.1263689999999997,-0.7485688729874442,0.3923076923076923,0.2639999013862109,37
5500.0,0.03,4.0,Core,0.899,0.881743,1.91957730812013,0.916,0.8889109999999998,2.9573144104803766,1.145,1.164353,-1.6902183406113496,0.24230769230769214,0.13917543439588148,42
